D0 [cm],Dn [cm] +-0.1,n-1,f [Hz],min/max,,D0 [cm],Dn [cm],n,f,min/max
4.2,46.8,5,2019,0,,4.3,46.9,5,2019,0
8.5,51.6,5,2019,1,,8.6,51.7,5,2019,1
3,44.5,6,2506,0,,3.2,44.3,6,2506,0
7.2,41.7,5,2506,1,,7.3,41.6,5,2506,1
2.8,43.1,7,3003,0,,2.9,43.2,7,3003,0
4.4,44.8,7,3003,1,,4.5,44.7,7,3003,1
3,42.4,8,3502,0,,3.1,37.4,7,3504,0
5.9,45.4,8,3501,1,,6.1,40.4,7,3502,1
3.1,41.9,9,4000,0,,3.1,41.9,9,4000,0
4.1,43.6,9,4000,1,,4.2,43.6,9,4000,1
2.9,41.2,10,4503,0,,2.9,41.1,10,4503,0
4.7,43.15,10,4503,1,,4.9,43,10,4503,1
3,44.4,12,5000,0,,3,44.3,12,4999,0
5.3,46.7,12,5000,1,,5.3,46.6,12,4999,1
