A [deg],ddeg,I [V],dV
-90,2,0.033,0.01
-85,2,0.113,0.01
-80,2,0.231,0.01
-75,2,0.362,0.01
-70,2,0.566,0.01
-65,2,0.764,0.01
-60,2,1.033,0.01
-55,2,1.336,0.01
-50,2,1.536,0.01
-45,2,1.933,0.01
-40,2,2.159,0.01
-35,2,2.455,0.01
-30,2,2.72,0.01
-25,2,2.853,0.01
-20,2,3.111,0.01
-15,2,3.25,0.01
-10,2,3.2,0.01
-5,2,3.246,0.01
0,2,3.17,0.01
5,2,3.167,0.01
10,2,3.015,0.01
15,2,2.817,0.01
20,2,2.622,0.01
25,2,2.544,0.01
30,2,2.208,0.01
35,2,1.966,0.01
40,2,1.677,0.01
45,2,1.469,0.01
50,2,1.205,0.01
55,2,0.919,0.01
60,2,0.666,0.01
65,2,0.441,0.01
70,2,0.256,0.01
75,2,0.118,0.01
80,2,0.047,0.01
85,2,0.014,0.01
90,2,0.03,0.01
